gene	log2FoldChange	pvalue
KIZ	0.599090602	0.167972462
TESC	0.512574572	0.270330768
RPL6	0.265332694	0.2457846
SIRPG	1.10258113	0.058103049
MAPKAPK5	0.012968017	0.949982317
ESF1	0.124108111	0.80750703
ANAPC5	0.064076534	0.6760787
DZANK1	0.232484342	5.12E-01
KDM2B	0.256370522	0.549129747
CFAP61	0.355208016	0.782208579
TASP1	0.336554907	0.243490217
PXN	0.472935004	0.340559613
SIRT4	0.328937222	0.759750281
TRMT6	0.113789551	0.688889959
TBX5	0	1
BRAP	0.440509868	0.045303489
FUS	0.195966558	0.306641102
IGBP1	0.207192999	0.31774029
FXYD5	0.465128291	0.442365309
ZNF302	0.290398353	0.421238526
HEPH	0.556179139	0.220279131
CMTM1	0.439751927	0.553540906
GMIP	0.128942613	0.824126667
RBM41	0.066974931	0.82360589
LAG3	0.848353274	0.157282907
OTUB2	0.005441309	0.984080836
DDX24	0.237255011	0.297157472
ZBTB25	0.544539014	0.126951859
NECAP1	0.392999619	0.23194183
RCOR1	0.442167493	0.255420985
GPATCH2L	0.157006347	6.41E-01
LTBP4	0.146078409	0.582978026
SLC9A1	0.046940515	0.841951639
PAPOLA	0.161271768	0.525722058
CCNK	0.287477817	0.373087755
PCBP4	0.174772182	0.470397756
YPEL3	0.807989872	0.088331633
LYZ	0.476405111	0.466446626
SI	0.495355393	0.875464745
PDCD7	0.29089588	0.250807413
FETUB	0	1
P3H2	0.408920319	0.412067658
THPO	0.703836768	0.484209793
FLT3LG	1.21272285	0.043928807
ZNF268	0.270132501	0.530004444
CERS4	0.934293484	0.000545274
USP48	0.133289914	0.572654493
PDPR	0.122840866	0.792754552
GLG1	0.063818931	0.750376096
TNRC6A	0.561968359	0.022726811
PITPNM2	0.512968901	0.06103924
RBM27	0.277436238	0.511956686
OSBPL8	0.507307493	0.308494271
NLRC4	0.234440657	0.735422596
SLC26A4	1.833179847	0.316376448
TXNL1	0.056613979	0.828546339
IL5RA	1.346534356	0.092981077
CMTM6	0.178763206	0.539802388
RAPGEF4	0.006789729	0.990651525
SMPX	0	1
SEL1L3	0.338842646	0.553873041
CDV3	0.024252165	0.906670299
APOH	1.771176928	0.357329751
NLRP1	1.12441565	0.062423834
PITPNM3	0.058519588	0.898310621
ORC6	0.317116248	0.592607113
SLC17A6	0	1
RGS17	0.239751501	0.795837166
ANGPT2	1.114035129	0.049225673
CD200	0.7066526	0.150020452
CCDC80	0.305713348	0.503552064
CMA1	0.621809153	0.763255717
PPP2R3C	0.067816837	0.81495851
MYH7	0	1
RNF31	0.792280656	0.069889095
SCFD1	0.147704172	0.712347162
G2E3	0.58741974	0.158364068
HECTD1	0.067848261	0.780115449
SUPT16H	0.059348747	0.715632586
TOX4	0.105711716	0.6800271
TGM1	0.974270138	0.049581741
TINF2	0.155318404	0.640434423
DAZL	0.49606481	0.875284827
TBL1Y	0	1
TRPM7	0.337527032	0.358791897
WDR76	0.234172727	0.568375833
SNAP23	0.119459262	0.673127805
PHGDH	0.374962467	0.446031571
