"Transcript_id","H1","L1","H2","L2","H3","L3","H4","L4","H5","L5","hgnc_symbol","ensembl_gene_id","transcript_biotype"
"ENST00000532912.1",0,0,0.00604,0.018,0,0,0,0,0,0,"TRIM53BP","ENSG00000166013","unprocessed_pseudogene"
"ENST00000532925.5",0,0,0,0,0,0,0,0,0,0,"ATPAF1","ENSG00000123472","protein_coding"
"ENST00000532932.5",9.024886,4.556605,4.583261,4.214037,6.54251,4.791306,0.365022,3.139032,4.586809,4.067291,"LTBP3","ENSG00000168056","retained_intron"
"ENST00000532933.1",3.219366,1.367382,0.985276,0.510821,4.014636,0.267351,1.921812,1.077208,5.762003,0.225793,"DRAP1","ENSG00000175550","protein_coding"
"ENST00000532938.1",0,0,0,0,0,0,0,0,0,0,"OR4A43P","ENSG00000255534","unprocessed_pseudogene"
"ENST00000532942.5",0,0,0,0,0,0,0,0,0,0,"","ENSG00000285283","protein_coding"
"ENST00000532944.2",0,0,0,0,0,0,0,0,0,0,"SLC5A4P1","ENSG00000255116","processed_pseudogene"
"ENST00000532955.1",0,0,0,0,0,0,0,0,0,0,"OR5BN1P","ENSG00000254848","unprocessed_pseudogene"
"ENST00000532956.5",0,0,0,0,0,0,0,0,0,0,"SIRT3","ENSG00000142082","protein_coding"
"ENST00000532959.5",0,0,0,0,0,0,0,0,0,0,"TMEM135","ENSG00000166575","protein_coding"
"ENST00000532963.1",0,0.005111,0,0,0,0,0,0,0,0,"NEU3","ENSG00000162139","protein_coding"
"ENST00000532964.5",0.393337,0,0,0,0,0.295152,0,0,0,0,"DERA","ENSG00000023697","protein_coding"
"ENST00000532967.5",0,0,0,0,0,0,0,0,0,0,"NT5C1B-RDH14","ENSG00000250741","protein_coding"
"ENST00000532968.1",0.025944,0.040523,0.011044,0.073806,0.010222,0.028588,0.037419,0.044053,0.017069,0.006059,"RBM4","ENSG00000173933","protein_coding"
"ENST00000532980.3",0.309855,0.100101,0.331275,0.125818,0.633768,0.318007,0.298878,0.087893,0.609414,0.171055,"","ENSG00000254704","processed_pseudogene"
"ENST00000532982.5",0,0,0,0,0,0,0,0,0,0,"DTX4","ENSG00000110042","protein_coding"
"ENST00000532984.1",0.009022,0,0,0,0.186725,0.353596,0.141873,0.058195,0,0.11815,"FXYD6-FXYD2","ENSG00000255245","protein_coding"
"ENST00000532993.5",0.024744,0.03753,0.011525,0.011421,0.546791,0.048824,0.016769,0.024418,0.015471,0.038195,"ARHGEF12","ENSG00000196914","protein_coding"
"ENST00000532996.5",0,0,0,0.049569,0.024393,0,0.027532,0,0.167996,0.014821,"ARHGAP28","ENSG00000088756","protein_coding"
"ENST00000532997.5",0,0,0,0,0,0,0,0,0,0,"BDNF","ENSG00000176697","protein_coding"
"ENST00000532998.5",0.409462,0.339908,0.175561,0.219265,0.228236,0.376868,0.249515,0.206358,0.453078,0.480199,"TMEM107","ENSG00000179029","protein_coding"
"ENST00000533000.5",0,0,0.114532,0,0,0,0,0,0,0,"UBXN1","ENSG00000162191","protein_coding"
"ENST00000533003.1",0.042076,0,0.015524,0,0,0,0,0,0.001064,0,"KRT8P7","ENSG00000230716","processed_pseudogene"
"ENST00000533004.5",0,0,0,0,0,0,0,0,0,0,"IQANK1","ENSG00000203499","protein_coding"
"ENST00000533022.5",0,0,1.476011,1.764687,1.162103,0.367139,0.497832,1.057755,0.837521,0.58172,"CLEC7A","ENSG00000172243","protein_coding"
"ENST00000533023.5",0.141071,0,0.087672,0,0,0,0,0,0.33225,0,"MS4A6A","ENSG00000110077","protein_coding"
"ENST00000533024.5",0,0,0,0,0,0,0,0,0,0,"CYB561D1","ENSG00000174151","protein_coding"
"ENST00000533030.1",0,0,0,0,0,0,0,0,0,0,"SPI1","ENSG00000066336","protein_coding"
"ENST00000533034.1",0,0,0,0,0,0,0,0,0,0,"FOLH1","ENSG00000086205","protein_coding"
"ENST00000533035.5",0.002692,0.002667,0.006061,0.007107,0.003403,0.00576,0.00088,0.001334,0.001436,0.012258,"MUS81","ENSG00000172732","protein_coding"
"ENST00000533043.1",0,0.035332,0,0,0,0,0,0,0,0.018289,"NPM1P35","ENSG00000255213","processed_pseudogene"
"ENST00000533045.5",0.068068,0.110126,0.079215,0.065426,0.563777,0.002177,0.007707,0.007314,0,0,"FIBP","ENSG00000172500","protein_coding"
"ENST00000533053.1",0,0,0,0,0,0,0,0,0,0,"OR4A41P","ENSG00000255297","unprocessed_pseudogene"
"ENST00000533054.5",0,0.961458,0.840083,1.209971,0.579517,0,0,0.952229,0,0.950274,"ROBO4","ENSG00000154133","protein_coding"
"ENST00000533058.5",0.032356,0.091248,0.042153,0.087943,0.037455,0.143661,0.121102,0.2307,0.088548,0.218794,"TRAPPC4","ENSG00000196655","protein_coding"
"ENST00000533060.5",0,0,0,0,0,0,0,0,0,0.01885,"TRPM5","ENSG00000070985","protein_coding"
"ENST00000533063.5",0,0,0,0,0,0,0,0,0,0,"GSDMD","ENSG00000104518","protein_coding"
"ENST00000533065.5",0,0.736683,0.200281,0.974893,0,0,1.320916,1.135482,0.578131,0,"SYBU","ENSG00000147642","protein_coding"
"ENST00000533070.5",0.037547,0.069561,0,0,0,0.18089,0,0,0,0,"TMEM107","ENSG00000179029","protein_coding"
"ENST00000533071.1",0.091146,0.061615,0.048353,0.050402,0.055376,0.089239,0.3199,0.149856,0.057472,0.080209,"OR7E2P","ENSG00000255203","unprocessed_pseudogene"
"ENST00000533076.5",0.313821,0.237632,0.213915,0.326154,0.127689,1.279921,0.827389,1.586094,0.097383,0.22299,"SLC39A13","ENSG00000165915","protein_coding"
"ENST00000533085.2",0.444228,0.271587,0.272865,0.25102,0.301073,0.340829,0.405177,0.264337,0.439017,0.532519,"CENPCP1","ENSG00000226982","processed_pseudogene"
"ENST00000533095.2",0.22007,0.059367,0.062387,0,0.051623,0.015819,0.015535,0.031327,0.053979,0.032571,"SAMD15","ENSG00000100583","protein_coding"
"ENST00000533097.6",0,0,0,0,0,0,0,0,0,0,"IL32","ENSG00000008517","protein_coding"
"ENST00000533099.5",0,1e-06,0,0,0.641908,0.749514,0,0,0,0.114746,"RNPC3","ENSG00000185946","protein_coding"
"ENST00000533102.5",0,0,0,0,0,0,0,0.116684,0,0,"TMEM25","ENSG00000149582","protein_coding"
"ENST00000533112.5",0,0.00334,0.009649,0,0.000797,0,0,6.6e-05,0.000512,0.002137,"MYO18A","ENSG00000196535","protein_coding"
"ENST00000533113.1",0.104245,0.67597,0.007511,0.048044,0,0.322488,0,0,0,0,"","ENSG00000255533","processed_pseudogene"
"ENST00000533118.5",0,0,0,0,0,0,0,0,0.100978,0,"ZNF576","ENSG00000124444","protein_coding"
"ENST00000533128.1",0.113126,3.196383,1.899428,2.284524,1.555004,1.730867,0.858742,1.828894,1.918305,2.175089,"","ENSG00000254765","processed_pseudogene"
"ENST00000533129.5",0,0,0.001337,0.001483,0,0,0,0,0.001363,0.007966,"CAPN1","ENSG00000014216","protein_coding"
"ENST00000533131.5",0,0,0,0,0,0,0,0,0,0,"BDNF","ENSG00000176697","protein_coding"
"ENST00000533141.1",0,1.129725,0,1.515274,0,0,0,0,0,0,"IFITM2","ENSG00000185201","protein_coding"
"ENST00000533144.1",0,0.013683,0.023243,0.009874,0.025254,0,0,0,0,0.009588,"KCTD14","ENSG00000151364","protein_coding"
"ENST00000533150.5",0.292781,0.49481,0,0.337053,0.319859,0.79523,0.023396,0.239631,0.109581,0.540181,"SULT1A2","ENSG00000197165","protein_coding"
"ENST00000533158.1",0,0,0,0,0,0,0,0,0,0,"","ENSG00000255519","processed_pseudogene"
"ENST00000533166.5",3.939985,4.136095,0.536158,3.307304,2.619957,0.062521,2.118036,3.643637,3.636104,2.086254,"BANF1","ENSG00000175334","protein_coding"
"ENST00000533171.5",0,0,0,0,0,0,0,0,0,0,"SYBU","ENSG00000147642","protein_coding"
"ENST00000533177.5",0.001734,0,0,0,0.002451,0,0,0,0,0,"UBTF","ENSG00000108312","protein_coding"
"ENST00000533193.5",0,0,0,0,0.010314,0.01776,0,0,0,0,"AAMDC","ENSG00000087884","protein_coding"
"ENST00000533205.5",0.042881,0.027991,0.134016,0,0,0.160009,0,0.073412,0,0.086369,"RTN4RL2","ENSG00000186907","protein_coding"
"ENST00000533214.1",0.54407,0.176199,0.222981,0.100142,0.275577,0.017201,0.111298,0.05689,0.048498,0.16262,"SNX19","ENSG00000120451","protein_coding"
"ENST00000533217.1",0,0,0,0,0,0,0,0,0,0,"RHOG","ENSG00000177105","protein_coding"
"ENST00000533227.5",0.006006,0.191214,0.009476,0.26104,0.062082,0.032483,0,0.510519,0.080951,0,"LUZP2","ENSG00000187398","protein_coding"
